Sequence  | Address         | Length  | TermCode            | Uri                                                                                       | Data
144       | 7ff7c864c260h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[32u](32u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
145       | 7ff7c864c280h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[32i](32i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
146       | 7ff7c864c2a0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[64u](64u~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
147       | 7ff7c864c2c0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[64i](64i~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
148       | 7ff7c864c2e0h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[32f](32f~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
149       | 7ff7c864c300h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip64#skip64_g[64f](64f~in,32i)                                          | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
150       | 7ff7c864c320h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[8u](8u~in,64i)                                              | 0f 1f 44 00 00 48 8d 04 11 c3
151       | 7ff7c864c340h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[8i](8i~in,64i)                                              | 0f 1f 44 00 00 48 8d 04 11 c3
152       | 7ff7c864c360h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[16u](16u~in,64i)                                            | 0f 1f 44 00 00 48 8d 04 51 c3
153       | 7ff7c864c380h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[16i](16i~in,64i)                                            | 0f 1f 44 00 00 48 8d 04 51 c3
154       | 7ff7c864c3a0h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[32u](32u~in,64i)                                            | 0f 1f 44 00 00 48 8d 04 91 c3
155       | 7ff7c864c7d0h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[32i](32i~in,64i)                                            | 0f 1f 44 00 00 48 8d 04 91 c3
156       | 7ff7c864c7f0h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[64u](64u~in,64i)                                            | 0f 1f 44 00 00 48 8d 04 d1 c3
157       | 7ff7c864c810h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[64i](64i~in,64i)                                            | 0f 1f 44 00 00 48 8d 04 d1 c3
158       | 7ff7c864c830h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[32f](32f~in,64i)                                            | 0f 1f 44 00 00 48 8d 04 91 c3
159       | 7ff7c864c850h   | 10      | CTC_RET_Zx3         | hex://root/refs?skipb#skipb_g[64f](64f~in,64i)                                            | 0f 1f 44 00 00 48 8d 04 d1 c3
160       | 7ff7c864c870h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[8u](span8u)                                                   | 0f 1f 44 00 00 48 8b 01 c3
161       | 7ff7c864c890h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[8i](span8i)                                                   | 0f 1f 44 00 00 48 8b 01 c3
162       | 7ff7c864c8b0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[16u](span16u)                                                 | 0f 1f 44 00 00 48 8b 01 c3
163       | 7ff7c864c8d0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[16i](span16i)                                                 | 0f 1f 44 00 00 48 8b 01 c3
164       | 7ff7c864c8f0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[32u](span32u)                                                 | 0f 1f 44 00 00 48 8b 01 c3
165       | 7ff7c864c910h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[32i](span32i)                                                 | 0f 1f 44 00 00 48 8b 01 c3
166       | 7ff7c864c930h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[64u](span64u)                                                 | 0f 1f 44 00 00 48 8b 01 c3
167       | 7ff7c864c950h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[64i](span64i)                                                 | 0f 1f 44 00 00 48 8b 01 c3
168       | 7ff7c864c970h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[32f](span32f)                                                 | 0f 1f 44 00 00 48 8b 01 c3
169       | 7ff7c864c990h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[64f](span64f)                                                 | 0f 1f 44 00 00 48 8b 01 c3
170       | 7ff7c864c9b0h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?head#head_g[8u](span8u,32i)                                               | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
171       | 7ff7c864c9d0h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?head#head_g[8i](span8i,32i)                                               | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
172       | 7ff7c864c9f0h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[16u](span16u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
173       | 7ff7c864ca10h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[16i](span16i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
174       | 7ff7c864ca30h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[32u](span32u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
175       | 7ff7c864ca50h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[32i](span32i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
176       | 7ff7c864ca70h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[64u](span64u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
177       | 7ff7c864ca90h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[64i](span64i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
178       | 7ff7c864cab0h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[32f](span32f,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
179       | 7ff7c864cad0h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[64f](span64f,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
180       | 7ff7c864cf00h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[8u](uspan8u)                                                  | 0f 1f 44 00 00 48 8b 01 c3
181       | 7ff7c864cf20h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[8i](uspan8i)                                                  | 0f 1f 44 00 00 48 8b 01 c3
182       | 7ff7c864cf40h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[16u](uspan16u)                                                | 0f 1f 44 00 00 48 8b 01 c3
183       | 7ff7c864cf60h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[16i](uspan16i)                                                | 0f 1f 44 00 00 48 8b 01 c3
184       | 7ff7c864cf80h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[32u](uspan32u)                                                | 0f 1f 44 00 00 48 8b 01 c3
185       | 7ff7c864cfa0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[32i](uspan32i)                                                | 0f 1f 44 00 00 48 8b 01 c3
186       | 7ff7c864cfc0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[64u](uspan64u)                                                | 0f 1f 44 00 00 48 8b 01 c3
187       | 7ff7c864cfe0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[64i](uspan64i)                                                | 0f 1f 44 00 00 48 8b 01 c3
188       | 7ff7c864d000h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[32f](uspan32f)                                                | 0f 1f 44 00 00 48 8b 01 c3
189       | 7ff7c864d020h   | 9       | CTC_RET_Zx3         | hex://root/refs?head#head_g[64f](uspan64f)                                                | 0f 1f 44 00 00 48 8b 01 c3
190       | 7ff7c864d040h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?head#head_g[8u](uspan8u,32i)                                              | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
191       | 7ff7c864d060h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?head#head_g[8i](uspan8i,32i)                                              | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
192       | 7ff7c864d080h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[16u](uspan16u,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
193       | 7ff7c864d0a0h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[16i](uspan16i,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
194       | 7ff7c864d0c0h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[32u](uspan32u,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
195       | 7ff7c864d0e0h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[32i](uspan32i,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
196       | 7ff7c864d100h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[64u](uspan64u,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
197       | 7ff7c864d120h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[64i](uspan64i,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
198       | 7ff7c864d140h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[32f](uspan32f,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
199       | 7ff7c864d160h   | 16      | CTC_RET_SBB         | hex://root/refs?head#head_g[64f](uspan64f,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
200       | 7ff7c864d180h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?skip#skip_g[8u](span8u,32i)                                               | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
201       | 7ff7c864d1a0h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?skip#skip_g[8i](span8i,32i)                                               | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
202       | 7ff7c864d1c0h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[16u](span16u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
203       | 7ff7c864d1e0h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[16i](span16i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
204       | 7ff7c864d200h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[32u](span32u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
205       | 7ff7c864d220h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[32i](span32i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
206       | 7ff7c864d240h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[64u](span64u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
207       | 7ff7c864d260h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[64i](span64i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
208       | 7ff7c864d280h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[32f](span32f,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
209       | 7ff7c864d2a0h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[64f](span64f,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
210       | 7ff7c864d6d0h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?skip#skip_g[8u](uspan8u,32i)                                              | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
211       | 7ff7c864d6f0h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?skip#skip_g[8i](uspan8i,32i)                                              | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
212       | 7ff7c864d710h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[16u](uspan16u,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
213       | 7ff7c864d730h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[16i](uspan16i,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
214       | 7ff7c864d750h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[32u](uspan32u,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
215       | 7ff7c864d770h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[32i](uspan32i,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
216       | 7ff7c864d790h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[64u](uspan64u,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
217       | 7ff7c864d7b0h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[64i](uspan64i,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
218       | 7ff7c864d7d0h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[32f](uspan32f,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
219       | 7ff7c864d7f0h   | 16      | CTC_RET_SBB         | hex://root/refs?skip#skip_g[64f](uspan64f,32i)                                            | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
220       | 7ff7c864d810h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[8u]()                                                         |  
221       | 7ff7c864d840h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[8i]()                                                         |  
222       | 7ff7c864d870h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[16u]()                                                        |  
223       | 7ff7c864d8a0h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[16i]()                                                        |  
224       | 7ff7c864d8d0h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[32u]()                                                        |  
225       | 7ff7c864dd10h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[32i]()                                                        |  
226       | 7ff7c864dd40h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[64u]()                                                        |  
227       | 7ff7c864dd70h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[64i]()                                                        |  
228       | 7ff7c864dda0h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[32f]()                                                        |  
229       | 7ff7c864ddd0h   | 0       | CTC_Zx7             | hex://root/refs?head#head_g[64f]()                                                        |  
230       | 7ff7c864e210h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?seek#seek_g[8u](span8u,32i)                                               | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
231       | 7ff7c864e230h   | 15      | CTC_RET_ZED_SBB     | hex://root/refs?seek#seek_g[8i](span8i,32i)                                               | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 03 c2 c3
232       | 7ff7c864e250h   | 16      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[16u](span16u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
233       | 7ff7c864e270h   | 16      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[16i](span16i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 50 c3
234       | 7ff7c864e290h   | 16      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[32u](span32u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
235       | 7ff7c864e2b0h   | 16      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[32i](span32i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
236       | 7ff7c864e2d0h   | 16      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[64u](span64u,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
237       | 7ff7c864e2f0h   | 16      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[64i](span64i,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
238       | 7ff7c864e310h   | 16      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[32f](span32f,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 90 c3
239       | 7ff7c864e330h   | 16      | CTC_RET_SBB         | hex://root/refs?seek#seek_g[64f](span64f,32i)                                             | 0f 1f 44 00 00 48 8b 01 48 63 d2 48 8d 04 d0 c3
240       | 7ff7c864e350h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[8u](span8u)                                                 | 0f 1f 44 00 00 48 8b 01 c3
241       | 7ff7c864e370h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[8i](span8i)                                                 | 0f 1f 44 00 00 48 8b 01 c3
242       | 7ff7c864e390h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[16u](span16u)                                               | 0f 1f 44 00 00 48 8b 01 c3
243       | 7ff7c864e3b0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[16i](span16i)                                               | 0f 1f 44 00 00 48 8b 01 c3
244       | 7ff7c864e3d0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[32u](span32u)                                               | 0f 1f 44 00 00 48 8b 01 c3
245       | 7ff7c864e3f0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[32i](span32i)                                               | 0f 1f 44 00 00 48 8b 01 c3
246       | 7ff7c864e410h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[64u](span64u)                                               | 0f 1f 44 00 00 48 8b 01 c3
247       | 7ff7c864e430h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[64i](span64i)                                               | 0f 1f 44 00 00 48 8b 01 c3
248       | 7ff7c864e450h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[32f](span32f)                                               | 0f 1f 44 00 00 48 8b 01 c3
249       | 7ff7c864e470h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[64f](span64f)                                               | 0f 1f 44 00 00 48 8b 01 c3
250       | 7ff7c864e8a0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[8u](span8u)                                               | 0f 1f 44 00 00 48 8b 01 c3
251       | 7ff7c864e8c0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[8i](span8i)                                               | 0f 1f 44 00 00 48 8b 01 c3
252       | 7ff7c864e8e0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[16u](span16u)                                             | 0f 1f 44 00 00 48 8b 01 c3
253       | 7ff7c864e900h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[16i](span16i)                                             | 0f 1f 44 00 00 48 8b 01 c3
254       | 7ff7c864e920h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[32u](span32u)                                             | 0f 1f 44 00 00 48 8b 01 c3
255       | 7ff7c864e940h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[32i](span32i)                                             | 0f 1f 44 00 00 48 8b 01 c3
256       | 7ff7c864e960h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[64u](span64u)                                             | 0f 1f 44 00 00 48 8b 01 c3
257       | 7ff7c864e980h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[64i](span64i)                                             | 0f 1f 44 00 00 48 8b 01 c3
258       | 7ff7c864e9a0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[32f](span32f)                                             | 0f 1f 44 00 00 48 8b 01 c3
259       | 7ff7c864e9c0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[64f](span64f)                                             | 0f 1f 44 00 00 48 8b 01 c3
260       | 7ff7c864e9e0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[8u](span8u)                                               | 0f 1f 44 00 00 48 8b 01 c3
261       | 7ff7c864ea00h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[8i](span8i)                                               | 0f 1f 44 00 00 48 8b 01 c3
262       | 7ff7c864ea20h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[16u](span16u)                                             | 0f 1f 44 00 00 48 8b 01 c3
263       | 7ff7c864ea40h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[16i](span16i)                                             | 0f 1f 44 00 00 48 8b 01 c3
264       | 7ff7c864ea60h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[32u](span32u)                                             | 0f 1f 44 00 00 48 8b 01 c3
265       | 7ff7c864ea80h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[32i](span32i)                                             | 0f 1f 44 00 00 48 8b 01 c3
266       | 7ff7c864eaa0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[64u](span64u)                                             | 0f 1f 44 00 00 48 8b 01 c3
267       | 7ff7c864eac0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[64i](span64i)                                             | 0f 1f 44 00 00 48 8b 01 c3
268       | 7ff7c864eae0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[32f](span32f)                                             | 0f 1f 44 00 00 48 8b 01 c3
269       | 7ff7c864eb00h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[64f](span64f)                                             | 0f 1f 44 00 00 48 8b 01 c3
270       | 7ff7c864eb20h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[8u](uspan8u)                                                | 0f 1f 44 00 00 48 8b 01 c3
271       | 7ff7c864eb40h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[8i](uspan8i)                                                | 0f 1f 44 00 00 48 8b 01 c3
272       | 7ff7c864eb60h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[16u](uspan16u)                                              | 0f 1f 44 00 00 48 8b 01 c3
273       | 7ff7c864ef90h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[16i](uspan16i)                                              | 0f 1f 44 00 00 48 8b 01 c3
274       | 7ff7c864efb0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[32u](uspan32u)                                              | 0f 1f 44 00 00 48 8b 01 c3
275       | 7ff7c864efd0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[32i](uspan32i)                                              | 0f 1f 44 00 00 48 8b 01 c3
276       | 7ff7c864eff0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[64u](uspan64u)                                              | 0f 1f 44 00 00 48 8b 01 c3
277       | 7ff7c864f010h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[64i](uspan64i)                                              | 0f 1f 44 00 00 48 8b 01 c3
278       | 7ff7c864f030h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[32f](uspan32f)                                              | 0f 1f 44 00 00 48 8b 01 c3
279       | 7ff7c864f050h   | 9       | CTC_RET_Zx3         | hex://root/refs?head8#head8_g[64f](uspan64f)                                              | 0f 1f 44 00 00 48 8b 01 c3
280       | 7ff7c864f070h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[8u](uspan8u)                                              | 0f 1f 44 00 00 48 8b 01 c3
281       | 7ff7c864f090h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[8i](uspan8i)                                              | 0f 1f 44 00 00 48 8b 01 c3
282       | 7ff7c864f0b0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[16u](uspan16u)                                            | 0f 1f 44 00 00 48 8b 01 c3
283       | 7ff7c864f0d0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[16i](uspan16i)                                            | 0f 1f 44 00 00 48 8b 01 c3
284       | 7ff7c864f0f0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[32u](uspan32u)                                            | 0f 1f 44 00 00 48 8b 01 c3
285       | 7ff7c864f110h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[32i](uspan32i)                                            | 0f 1f 44 00 00 48 8b 01 c3
286       | 7ff7c864f130h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[64u](uspan64u)                                            | 0f 1f 44 00 00 48 8b 01 c3
287       | 7ff7c864f150h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[64i](uspan64i)                                            | 0f 1f 44 00 00 48 8b 01 c3
288       | 7ff7c864f170h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[32f](uspan32f)                                            | 0f 1f 44 00 00 48 8b 01 c3
289       | 7ff7c864f190h   | 9       | CTC_RET_Zx3         | hex://root/refs?head16#head16_g[64f](uspan64f)                                            | 0f 1f 44 00 00 48 8b 01 c3
290       | 7ff7c864f1b0h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[8u](span8u)                                               |  
291       | 7ff7c864f1e0h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[8i](span8i)                                               |  
292       | 7ff7c864f210h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[16u](span16u)                                             |  
293       | 7ff7c864f250h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[16i](span16i)                                             |  
294       | 7ff7c864f6a0h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[32u](span32u)                                             |  
295       | 7ff7c864f6e0h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[32i](span32i)                                             |  
296       | 7ff7c864f720h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[64u](span64u)                                             |  
297       | 7ff7c864f750h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[64i](span64i)                                             |  
298       | 7ff7c864f780h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[32f](span32f)                                             |  
299       | 7ff7c864f7c0h   | 0       | CTC_Zx7             | hex://root/refs?head64#head64_g[64f](span64f)                                             |  
300       | 7ff7c864f7f0h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[8u](uspan8u)                                              | 0f 1f 44 00 00 48 8b 01 c3
301       | 7ff7c864f810h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[8i](uspan8i)                                              | 0f 1f 44 00 00 48 8b 01 c3
302       | 7ff7c864f830h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[16u](uspan16u)                                            | 0f 1f 44 00 00 48 8b 01 c3
303       | 7ff7c864f850h   | 9       | CTC_RET_Zx3         | hex://root/refs?head32#head32_g[16i](uspan16i)                                            | 0f 1f 44 00 00 48 8b 01 c3
