Sequence  | Address         | Length  | TermCode            | Uri                                                                                       | Data
29        | 7ff7c864ab70h   | 13      | CTC_RET_Zx3         | hex://root/refs?skip#skip_g[64f](64f~in,32i)                                              | 0f 1f 44 00 00 48 63 c2 48 8d 04 c1 c3
30        | 7ff7c864ab90h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[8u](8u~ref)                                           | 0f 1f 44 00 00 48 8b c1 c3
31        | 7ff7c864abb0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[8i](8i~ref)                                           | 0f 1f 44 00 00 48 8b c1 c3
32        | 7ff7c864abd0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[16u](16u~ref)                                         | 0f 1f 44 00 00 48 8b c1 c3
33        | 7ff7c864abf0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[16i](16i~ref)                                         | 0f 1f 44 00 00 48 8b c1 c3
34        | 7ff7c864ac10h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[32u](32u~ref)                                         | 0f 1f 44 00 00 48 8b c1 c3
35        | 7ff7c864ac30h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[32i](32i~ref)                                         | 0f 1f 44 00 00 48 8b c1 c3
36        | 7ff7c864ac50h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[64u](64u~ref)                                         | 0f 1f 44 00 00 48 8b c1 c3
37        | 7ff7c864ac70h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[64i](64i~ref)                                         | 0f 1f 44 00 00 48 8b c1 c3
38        | 7ff7c864ac90h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[32f](32f~ref)                                         | 0f 1f 44 00 00 48 8b c1 c3
39        | 7ff7c864acb0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byterefR#byterefR_g[64f](64f~ref)                                         | 0f 1f 44 00 00 48 8b c1 c3
40        | 7ff7c864acd0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[8u](8u~in)                                              | 0f 1f 44 00 00 48 8b c1 c3
41        | 7ff7c864acf0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[8i](8i~in)                                              | 0f 1f 44 00 00 48 8b c1 c3
42        | 7ff7c864ad10h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[16u](16u~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
43        | 7ff7c864ad30h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[16i](16i~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
44        | 7ff7c864ad50h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[32u](32u~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
45        | 7ff7c864ad70h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[32i](32i~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
46        | 7ff7c864ad90h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[64u](64u~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
47        | 7ff7c864adb0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[64i](64i~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
48        | 7ff7c864add0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[32f](32f~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
49        | 7ff7c864adf0h   | 9       | CTC_RET_Zx3         | hex://root/refs?byteref#byteref_g[64f](64f~in)                                            | 0f 1f 44 00 00 48 8b c1 c3
50        | 7ff7c864ae10h   | 18      | CTC_RET_Zx3         | hex://root/refs?swap#swap_g[8u](8u~ref,8u~ref)                                            | 0f 1f 44 00 00 0f b6 01 44 0f b6 02 44 88 01 88 02 c3
51        | 7ff7c864ae40h   | 19      | CTC_RET_ZED_SBB     | hex://root/refs?swap#swap_g[8i](8i~ref,8i~ref)                                            | 0f 1f 44 00 00 48 0f be 01 4c 0f be 02 44 88 01 88 02 c3
52        | 7ff7c864ae70h   | 20      | CTC_RET_SBB         | hex://root/refs?swap#swap_g[16u](16u~ref,16u~ref)                                         | 0f 1f 44 00 00 0f b7 01 44 0f b7 02 66 44 89 01 66 89 02 c3
53        | 7ff7c864b2a0h   | 21      | CTC_RET_Zx3         | hex://root/refs?swap#swap_g[16i](16i~ref,16i~ref)                                         | 0f 1f 44 00 00 48 0f bf 01 4c 0f bf 02 66 44 89 01 66 89 02 c3
54        | 7ff7c864b2d0h   | 16      | CTC_RET_SBB         | hex://root/refs?swap#swap_g[32u](32u~ref,32u~ref)                                         | 0f 1f 44 00 00 8b 01 44 8b 02 44 89 01 89 02 c3
55        | 7ff7c864b2f0h   | 16      | CTC_RET_SBB         | hex://root/refs?swap#swap_g[32i](32i~ref,32i~ref)                                         | 0f 1f 44 00 00 8b 01 44 8b 02 44 89 01 89 02 c3
56        | 7ff7c864b310h   | 18      | CTC_RET_Zx3         | hex://root/refs?swap#swap_g[64u](64u~ref,64u~ref)                                         | 0f 1f 44 00 00 48 8b 01 4c 8b 02 4c 89 01 48 89 02 c3
57        | 7ff7c864b340h   | 18      | CTC_RET_Zx3         | hex://root/refs?swap#swap_g[64i](64i~ref,64i~ref)                                         | 0f 1f 44 00 00 48 8b 01 4c 8b 02 4c 89 01 48 89 02 c3
58        | 7ff7c864b370h   | 22      | CTC_RET_INTR        | hex://root/refs?swap#swap_g[32f](32f~ref,32f~ref)                                         | c5 f8 77 66 90 c5 fa 10 01 c5 fa 10 0a c5 fa 11 09 c5 fa 11 02 c3
59        | 7ff7c864b3a0h   | 22      | CTC_RET_INTR        | hex://root/refs?swap#swap_g[64f](64f~ref,64f~ref)                                         | c5 f8 77 66 90 c5 fb 10 01 c5 fb 10 0a c5 fb 11 09 c5 fb 11 02 c3
60        | 7ff7c864b3d0h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[8u](8u~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
61        | 7ff7c864b3f0h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[8i](8i~ref,32i)                                             | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
62        | 7ff7c864b410h   | 12      | CTC_RET_SBB         | hex://root/refs?seek8#seek8_g[16u](16u~ref,32i)                                           | 0f 1f 44 00 00 48 63 c2 48 03 c1 c3
