Offset      | Gap     | Origin                          | Size    | Uri
00001160h   | 18      | 7ff7c7193220h : 7ff7c7193232h   | 18      | corefunc/converter/convert64f~convert_g64f
00001190h   | 30      | 7ff7c7193250h : 7ff7c719325bh   | 11      | corefunc/converter/convert64f~convert_g64f
000011b0h   | 21      | 7ff7c7193270h : 7ff7c719327ah   | 10      | corefunc/converter/convert64f~convert_g64f
000011d0h   | 22      | 7ff7c7193290h : 7ff7c719329bh   | 11      | corefunc/converter/convert64f~convert_g64f
000011f0h   | 21      | 7ff7c71932b0h : 7ff7c71932bbh   | 11      | corefunc/converter/convert64f~convert_g64f
00001210h   | 21      | 7ff7c71932d0h : 7ff7c71932dah   | 10      | corefunc/converter/convert64f~convert_g64f
00001230h   | 22      | 7ff7c71932f0h : 7ff7c71932f6h   | 6       | corefunc/converter/convert64f~convert_g64f
00001250h   | 26      | 7ff7c7193310h : 7ff7c7193319h   | 9       | corefunc/converter/convert64i~convert_g64i
00001270h   | 23      | 7ff7c7193330h : 7ff7c719333ah   | 10      | corefunc/converter/convert64i~convert_g64i
000016a0h   | 1062    | 7ff7c7193760h : 7ff7c7193769h   | 9       | corefunc/converter/convert64i~convert_g64i
000016c0h   | 23      | 7ff7c7193780h : 7ff7c719378ah   | 10      | corefunc/converter/convert64i~convert_g64i
000016e0h   | 22      | 7ff7c71937a0h : 7ff7c71937a8h   | 8       | corefunc/converter/convert64i~convert_g64i
00001700h   | 24      | 7ff7c71937c0h : 7ff7c71937c8h   | 8       | corefunc/converter/convert64i~convert_g64i
00001720h   | 24      | 7ff7c71937e0h : 7ff7c71937e9h   | 9       | corefunc/converter/convert64i~convert_g64i
00001740h   | 23      | 7ff7c7193800h : 7ff7c7193809h   | 9       | corefunc/converter/convert64i~convert_g64i
00001760h   | 23      | 7ff7c7193820h : 7ff7c719382fh   | 15      | corefunc/converter/convert64i~convert_g64i
00001780h   | 17      | 7ff7c7193840h : 7ff7c719384fh   | 15      | corefunc/converter/convert64i~convert_g64i
000017a0h   | 17      | 7ff7c7193860h : 7ff7c7193869h   | 9       | corefunc/converter/convert64u~convert_g64u
000017c0h   | 23      | 7ff7c7193880h : 7ff7c719388ah   | 10      | corefunc/converter/convert64u~convert_g64u
000017e0h   | 22      | 7ff7c71938a0h : 7ff7c71938a9h   | 9       | corefunc/converter/convert64u~convert_g64u
00001800h   | 23      | 7ff7c71938c0h : 7ff7c71938cah   | 10      | corefunc/converter/convert64u~convert_g64u
00001820h   | 22      | 7ff7c71938e0h : 7ff7c71938e8h   | 8       | corefunc/converter/convert64u~convert_g64u
00001840h   | 24      | 7ff7c7193900h : 7ff7c7193908h   | 8       | corefunc/converter/convert64u~convert_g64u
00001860h   | 24      | 7ff7c7193920h : 7ff7c7193929h   | 9       | corefunc/converter/convert64u~convert_g64u
00001880h   | 23      | 7ff7c7193940h : 7ff7c7193949h   | 9       | corefunc/converter/convert64u~convert_g64u
