Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
74        | 7ff7c8573350h   | 21      | CTC_RET_Zx3         | hex://logix/logic.ops?f34#f34_(1u,1u,1u)                                                                      | bit f34(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 44 23 c2 41 8b c0 f7 d0 83 e0 01 33 d1 23 c2 c3
75        | 7ff7c8573380h   | 32      | CTC_RET_SBB         | hex://logix/logic.ops?f35#f35_(1u,1u,1u)                                                                      | bit f35(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c2 f7 d0 83 e0 01 41 8b d0 f7 d2 83 e2 01 23 c1 f7 d1 23 d1 0b c2 83 e0 01 c3
76        | 7ff7c85733b0h   | 13      | CTC_RET_Zx3         | hex://logix/logic.ops?f36#f36_(1u,1u,1u)                                                                      | bit f36(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 0b c8 8b c2 33 c1 c3
77        | 7ff7c85733d0h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f37#f37_(1u,1u,1u)                                                                      | bit f37(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 0b c8 23 d1 8b c2 f7 d0 83 e0 01 c3
78        | 7ff7c8573400h   | 16      | CTC_RET_SBB         | hex://logix/logic.ops?f38#f38_(1u,1u,1u)                                                                      | bit f38(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 44 0b c1 33 d1 41 8b c0 23 c2 c3
79        | 7ff7c8573420h   | 18      | CTC_RET_Zx3         | hex://logix/logic.ops?f39#f39_(1u,1u,1u)                                                                      | bit f39(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 0b c1 33 c2 c3
80        | 7ff7c8573450h   | 27      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?f3a#f3a_(1u,1u,1u)                                                                      | bit f3a(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c2 f7 d0 83 e0 01 23 c1 8b d1 f7 d2 41 23 d0 0b c2 83 e0 01 c3
81        | 7ff7c8573480h   | 23      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?f3b#f3b_(1u,1u,1u)                                                                      | bit f3b(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 41 23 c0 f7 d2 83 e2 01 0b c2 c3
82        | 7ff7c85734b0h   | 15      | CTC_RET_ZED_SBB     | hex://logix/logic.ops?f3c#f3c_(1u,1u,1u)                                                                      | bit f3c(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 44 89 44 24 18 8b c2 33 c1 c3
83        | 7ff7c85734d0h   | 20      | CTC_RET_SBB         | hex://logix/logic.ops?f3d#f3d_(1u,1u,1u)                                                                      | bit f3d(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 33 d1 41 0b c8 8b c1 f7 d0 83 e0 01 0b c2 c3
