Sequence  | Address         | Length  | TermCode            | Uri                                                                                       | Data
27        | 7ff7c8648a10h   | 11      | CTC_RET_ZED_SBB     | hex://root/Numeric?unsigned#unsigned_g[32u]()                                             | 0f 1f 44 00 00 b8 01 00 00 00 c3
28        | 7ff7c8648a30h   | 8       | CTC_RET_SBB         | hex://root/Numeric?unsigned#unsigned_g[32i]()                                             | 0f 1f 44 00 00 33 c0 c3
29        | 7ff7c8648a50h   | 11      | CTC_RET_ZED_SBB     | hex://root/Numeric?unsigned#unsigned_g[64u]()                                             | 0f 1f 44 00 00 b8 01 00 00 00 c3
30        | 7ff7c8648a70h   | 8       | CTC_RET_SBB         | hex://root/Numeric?unsigned#unsigned_g[64i]()                                             | 0f 1f 44 00 00 33 c0 c3
31        | 7ff7c8648a90h   | 8       | CTC_RET_SBB         | hex://root/Numeric?unsigned#unsigned_g[32f]()                                             | 0f 1f 44 00 00 33 c0 c3
32        | 7ff7c8648ab0h   | 8       | CTC_RET_SBB         | hex://root/Numeric?unsigned#unsigned_g[64f]()                                             | 0f 1f 44 00 00 33 c0 c3
33        | 7ff7c8648ad0h   | 8       | CTC_RET_SBB         | hex://root/Numeric?floating#floating_g[8u]()                                              | 0f 1f 44 00 00 33 c0 c3
34        | 7ff7c8648af0h   | 8       | CTC_RET_SBB         | hex://root/Numeric?floating#floating_g[8i]()                                              | 0f 1f 44 00 00 33 c0 c3
35        | 7ff7c8648b10h   | 8       | CTC_RET_SBB         | hex://root/Numeric?floating#floating_g[16u]()                                             | 0f 1f 44 00 00 33 c0 c3
36        | 7ff7c8648b30h   | 8       | CTC_RET_SBB         | hex://root/Numeric?floating#floating_g[16i]()                                             | 0f 1f 44 00 00 33 c0 c3
37        | 7ff7c8648b50h   | 8       | CTC_RET_SBB         | hex://root/Numeric?floating#floating_g[32u]()                                             | 0f 1f 44 00 00 33 c0 c3
38        | 7ff7c8648b70h   | 8       | CTC_RET_SBB         | hex://root/Numeric?floating#floating_g[32i]()                                             | 0f 1f 44 00 00 33 c0 c3
39        | 7ff7c8648b90h   | 8       | CTC_RET_SBB         | hex://root/Numeric?floating#floating_g[64u]()                                             | 0f 1f 44 00 00 33 c0 c3
40        | 7ff7c8648bb0h   | 8       | CTC_RET_SBB         | hex://root/Numeric?floating#floating_g[64i]()                                             | 0f 1f 44 00 00 33 c0 c3
41        | 7ff7c8648bd0h   | 11      | CTC_RET_ZED_SBB     | hex://root/Numeric?floating#floating_g[32f]()                                             | 0f 1f 44 00 00 b8 01 00 00 00 c3
42        | 7ff7c8648bf0h   | 11      | CTC_RET_ZED_SBB     | hex://root/Numeric?floating#floating_g[64f]()                                             | 0f 1f 44 00 00 b8 01 00 00 00 c3
43        | 7ff7c8648c10h   | 23      | CTC_RET_ZED_SBB     | hex://root/Numeric?test#test_()                                                           | 48 83 ec 28 90 e8 b6 a9 12 ff 85 c0 0f 95 c0 0f b6 c0 48 83 c4 28 c3
44        | 7ff7c8648c40h   | 29      | CTC_RET_Zx3         | hex://root/Numeric?width#width_()                                                         | 48 83 ec 28 90 e8 86 a9 12 ff 85 c0 74 08 0f b7 c0 48 83 c4 28 c3 33 c0 48 83 c4 28 c3
45        | 7ff7c8648c80h   | 109     | CTC_RET_Zx3         | hex://root/Numeric?signed#signed_()                                                       | 56 48 83 ec 20 48 8b f1 48 b9 68 6f 72 c7 f7 7f 00 00 e8 59 63 bc 5e 48 3b c6 74 46 48 b9 48 7f 72 c7 f7 7f 00 00 e8 45 63 bc 5e 48 3b c6 74 32 48 b9 08 8f 72 c7 f7 7f 00 00 e8 31 63 bc 5e 48 3b c6 74 1e 48 b9 a8 9e 72 c7 f7 7f 00 00 e8 1d 63 bc 5e 48 3b c6 0f 94 c0 0f b6 c0 48 83 c4 20 5e c3 b8 01 00 00 00 48 83 c4 20 5e c3
46        | 7ff7c8648d10h   | 109     | CTC_RET_Zx3         | hex://root/Numeric?unsigned#unsigned_()                                                   | 56 48 83 ec 20 48 8b f1 48 b9 58 77 72 c7 f7 7f 00 00 e8 c9 62 bc 5e 48 3b c6 74 46 48 b9 38 87 72 c7 f7 7f 00 00 e8 b5 62 bc 5e 48 3b c6 74 32 48 b9 d8 96 72 c7 f7 7f 00 00 e8 a1 62 bc 5e 48 3b c6 74 1e 48 b9 78 a6 72 c7 f7 7f 00 00 e8 8d 62 bc 5e 48 3b c6 0f 94 c0 0f b6 c0 48 83 c4 20 5e c3 b8 01 00 00 00 48 83 c4 20 5e c3
47        | 7ff7c8648da0h   | 69      | CTC_RET_Zx3         | hex://root/Numeric?floating#floating_()                                                   | 56 48 83 ec 20 48 8b f1 48 b9 58 af 72 c7 f7 7f 00 00 e8 39 62 bc 5e 48 3b c6 74 1e 48 b9 38 b8 72 c7 f7 7f 00 00 e8 25 62 bc 5e 48 3b c6 0f 94 c0 0f b6 c0 48 83 c4 20 5e c3 b8 01 00 00 00 48 83 c4 20 5e c3
