Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
56        | 7ff7c8669fa0h   | 22      | CTC_RET_Zx3         | hex://logix/bitvector.ops?cimpl#cimpl_g[8u]()                                                                 | BitVector<byte> cimpl<byte>(BitVector<byte> x, BitVector<byte> y)                                             | 0f 1f 44 00 00 0f b6 c1 0f b6 d2 0f b6 c0 f7 d0 0b c2 0f b6 c0 c3
57        | 7ff7c8669fd0h   | 22      | CTC_RET_Zx3         | hex://logix/bitvector.ops?cimpl#cimpl_g[16u]()                                                                | BitVector<ushort> cimpl<ushort>(BitVector<ushort> x, BitVector<ushort> y)                                     | 0f 1f 44 00 00 0f b7 c1 0f b7 d2 0f b7 c0 f7 d0 0b c2 0f b7 c0 c3
58        | 7ff7c866a000h   | 12      | CTC_RET_SBB         | hex://logix/bitvector.ops?cimpl#cimpl_g[32u]()                                                                | BitVector<uint> cimpl<uint>(BitVector<uint> x, BitVector<uint> y)                                             | 0f 1f 44 00 00 8b c1 f7 d0 0b c2 c3
59        | 7ff7c866a020h   | 15      | CTC_RET_ZED_SBB     | hex://logix/bitvector.ops?cimpl#cimpl_g[64u]()                                                                | BitVector<ulong> cimpl<ulong>(BitVector<ulong> x, BitVector<ulong> y)                                         | 0f 1f 44 00 00 48 8b c1 48 f7 d0 48 0b c2 c3
60        | 7ff7c866a040h   | 23      | CTC_RET_ZED_SBB     | hex://logix/bitvector.ops?cnonimpl#cnonimpl_g[8u]()                                                           | BitVector<byte> cnonimpl<byte>(BitVector<byte> x, BitVector<byte> y)                                          | 0f 1f 44 00 00 0f b6 c1 0f b6 d2 0f b6 c0 c4 e2 68 f2 c0 0f b6 c0 c3
61        | 7ff7c866a070h   | 23      | CTC_RET_ZED_SBB     | hex://logix/bitvector.ops?cnonimpl#cnonimpl_g[16u]()                                                          | BitVector<ushort> cnonimpl<ushort>(BitVector<ushort> x, BitVector<ushort> y)                                  | 0f 1f 44 00 00 0f b7 c1 0f b7 d2 0f b7 c0 c4 e2 68 f2 c0 0f b7 c0 c3
62        | 7ff7c866a0a0h   | 11      | CTC_RET_ZED_SBB     | hex://logix/bitvector.ops?cnonimpl#cnonimpl_g[32u]()                                                          | BitVector<uint> cnonimpl<uint>(BitVector<uint> x, BitVector<uint> y)                                          | 0f 1f 44 00 00 c4 e2 68 f2 c1 c3
63        | 7ff7c866a0c0h   | 11      | CTC_RET_ZED_SBB     | hex://logix/bitvector.ops?cnonimpl#cnonimpl_g[64u]()                                                          | BitVector<ulong> cnonimpl<ulong>(BitVector<ulong> x, BitVector<ulong> y)                                      | 0f 1f 44 00 00 c4 e2 e8 f2 c1 c3
64        | 7ff7c866a230h   | 34      | CTC_RET_Zx3         | hex://logix/bitvector.ops?select#select_g[8u]()                                                               | BitVector<byte> select<byte>(BitVector<byte> x, BitVector<byte> y, BitVector<byte> z)                         | 0f 1f 44 00 00 0f b6 c1 0f b6 d2 41 0f b6 c8 0f b6 c0 0f b6 d2 23 d0 c4 e2 78 f2 c1 0b c2 0f b6 c0 c3
65        | 7ff7c866a270h   | 34      | CTC_RET_Zx3         | hex://logix/bitvector.ops?select#select_g[16u]()                                                              | BitVector<ushort> select<ushort>(BitVector<ushort> x, BitVector<ushort> y, BitVector<ushort> z)               | 0f 1f 44 00 00 0f b7 c1 0f b7 d2 41 0f b7 c8 0f b7 c0 0f b7 d2 23 d0 c4 e2 78 f2 c1 0b c2 0f b7 c0 c3
66        | 7ff7c866a2b0h   | 15      | CTC_RET_ZED_SBB     | hex://logix/bitvector.ops?select#select_g[32u]()                                                              | BitVector<uint> select<uint>(BitVector<uint> x, BitVector<uint> y, BitVector<uint> z)                         | 0f 1f 44 00 00 23 d1 c4 c2 70 f2 c0 0b c2 c3
67        | 7ff7c866a2d0h   | 17      | CTC_RET_Zx3         | hex://logix/bitvector.ops?select#select_g[64u]()                                                              | BitVector<ulong> select<ulong>(BitVector<ulong> x, BitVector<ulong> y, BitVector<ulong> z)                    | 0f 1f 44 00 00 48 23 d1 c4 c2 f0 f2 c0 48 0b c2 c3
