Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
32        | 7ff7c865f250h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[16u](16u)                                                                             | ushort to<ushort>(ushort src)                                                                                 | 0f 1f 44 00 00 0f b7 c1 c3
33        | 7ff7c865f270h   | 13      | CTC_RET_Zx3         | hex://root/cast?to#to_g[16i](16u)                                                                             | short to<short>(ushort src)                                                                                   | 0f 1f 44 00 00 0f b7 c1 48 0f bf c0 c3
34        | 7ff7c865f290h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[32u](16u)                                                                             | uint to<uint>(ushort src)                                                                                     | 0f 1f 44 00 00 0f b7 c1 c3
35        | 7ff7c865f2b0h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[32i](16u)                                                                             | int to<int>(ushort src)                                                                                       | 0f 1f 44 00 00 0f b7 c1 c3
36        | 7ff7c865f2d0h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64u](16u)                                                                             | ulong to<ulong>(ushort src)                                                                                   | 0f 1f 44 00 00 0f b7 c1 c3
37        | 7ff7c865f700h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[64i](16u)                                                                             | long to<long>(ushort src)                                                                                     | 0f 1f 44 00 00 0f b7 c1 c3
38        | 7ff7c865f720h   | 17      | CTC_RET_INTR        | hex://root/cast?to#to_g[32f](16u)                                                                             | float to<float>(ushort src)                                                                                   | c5 f8 77 66 90 0f b7 c1 c5 f8 57 c0 c5 fa 2a c0 c3
39        | 7ff7c865f750h   | 17      | CTC_RET_INTR        | hex://root/cast?to#to_g[64f](16u)                                                                             | double to<double>(ushort src)                                                                                 | c5 f8 77 66 90 0f b7 c1 c5 f8 57 c0 c5 fb 2a c0 c3
40        | 7ff7c865f780h   | 9       | CTC_RET_Zx3         | hex://root/cast?to#to_g[8u](32i)                                                                              | byte to<byte>(int src)                                                                                        | 0f 1f 44 00 00 0f b6 c1 c3
41        | 7ff7c865f7a0h   | 10      | CTC_RET_Zx3         | hex://root/cast?to#to_g[8i](32i)                                                                              | sbyte to<sbyte>(int src)                                                                                      | 0f 1f 44 00 00 48 0f be c1 c3
