Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
246       | 7ff7c80da660h   | 22      | CTC_RET_Zx3         | hex://bitcore/gbits?clearbyte#clearbyte_g[32u](32u,8u)                                                        | uint clearbyte<uint>(uint src, byte index)                                                                    | 0f 1f 44 00 00 8b c1 0f b6 ca ba ff 00 00 00 d3 e2 f7 d2 23 c2 c3
247       | 7ff7c80da690h   | 26      | CTC_RET_Zx3         | hex://bitcore/gbits?clearbyte#clearbyte_g[64u](64u,8u)                                                        | ulong clearbyte<ulong>(ulong src, byte index)                                                                 | 0f 1f 44 00 00 48 8b c1 0f b6 ca ba ff 00 00 00 48 d3 e2 48 f7 d2 48 23 c2 c3
248       | 7ff7c80da6c0h   | 99      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[8u](8u,8u,8u,8u)                                                        | byte bitcopy<byte>(byte src, byte index, byte count, byte dst)                                                | 0f 1f 44 00 00 0f b6 c2 8b d0 0f b6 c9 45 0f b6 c0 45 8b d0 41 c1 e2 08 41 0b c2 0f b7 c0 c4 e2 78 f7 c9 0f b6 c1 45 0f b6 c9 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 83 e2 1f 8b ca 41 d3 e0 41 81 f0 ff ff 00 00 45 23 c1 45 0f b6 c0 8b ca d3 e0 0f b6 c0 41 0b c0 0f b6 c0 c3
249       | 7ff7c80da740h   | 103     | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[8i](8i,8u,8u,8i)                                                        | sbyte bitcopy<sbyte>(sbyte src, byte index, byte count, sbyte dst)                                            | 0f 1f 44 00 00 0f b6 c2 8b d0 48 0f be c9 45 0f b6 c0 45 8b d0 41 c1 e2 08 41 0b c2 0f b7 c0 c4 e2 78 f7 c9 48 0f be c1 4d 0f be c9 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 83 e2 1f 8b ca 41 d3 e0 41 81 f0 ff ff 00 00 45 23 c1 4d 0f be c0 8b ca d3 e0 48 0f be c0 41 0b c0 48 0f be c0 c3
250       | 7ff7c80da7c0h   | 99      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[16u](16u,8u,8u,16u)                                                     | ushort bitcopy<ushort>(ushort src, byte index, byte count, ushort dst)                                        | 0f 1f 44 00 00 0f b6 c2 8b d0 0f b7 c9 45 0f b6 c0 45 8b d0 41 c1 e2 08 41 0b c2 0f b7 c0 c4 e2 78 f7 c9 0f b7 c1 45 0f b7 c9 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 83 e2 1f 8b ca 41 d3 e0 41 81 f0 ff ff 00 00 45 23 c1 45 0f b7 c0 8b ca d3 e0 0f b7 c0 41 0b c0 0f b7 c0 c3
251       | 7ff7c80da840h   | 103     | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[16i](16i,8u,8u,16i)                                                     | short bitcopy<short>(short src, byte index, byte count, short dst)                                            | 0f 1f 44 00 00 0f b6 c2 8b d0 48 0f bf c9 45 0f b6 c0 45 8b d0 41 c1 e2 08 41 0b c2 0f b7 c0 c4 e2 78 f7 c9 48 0f bf c1 4d 0f bf c9 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 83 e2 1f 8b ca 41 d3 e0 41 81 f0 ff ff 00 00 45 23 c1 4d 0f bf c0 8b ca d3 e0 48 0f bf c0 41 0b c0 48 0f bf c0 c3
252       | 7ff7c8280480h   | 75      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[32u](32u,8u,8u,32u)                                                     | uint bitcopy<uint>(uint src, byte index, byte count, uint dst)                                                | 0f 1f 44 00 00 0f b6 c2 8b d0 45 0f b6 c0 45 8b d0 41 c1 e2 08 41 0b c2 0f b7 c0 c4 e2 78 f7 c1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 83 e2 1f 8b ca 41 d3 e0 41 f7 d0 45 23 c1 8b ca d3 e0 41 0b c0 c3
253       | 7ff7c82804e0h   | 75      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[32i](32i,8u,8u,32i)                                                     | int bitcopy<int>(int src, byte index, byte count, int dst)                                                    | 0f 1f 44 00 00 0f b6 c2 8b d0 45 0f b6 c0 45 8b d0 41 c1 e2 08 41 0b c2 0f b7 c0 c4 e2 78 f7 c1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 f0 f3 d0 44 8b c1 83 e2 1f 8b ca 41 d3 e0 41 f7 d0 45 23 c1 8b ca d3 e0 41 0b c0 c3
254       | 7ff7c8280540h   | 73      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[64u](64u,8u,8u,64u)                                                     | ulong bitcopy<ulong>(ulong src, byte index, byte count, ulong dst)                                            | 0f 1f 44 00 00 0f b6 c2 8b d0 45 0f b6 c0 45 8b d0 41 c1 e2 08 41 0b c2 0f b7 c0 c4 e2 f8 f7 c1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 b8 f3 d0 83 e2 3f 8b ca 49 d3 e0 49 f7 d0 4d 23 c1 8b ca 48 d3 e0 49 0b c0 c3
255       | 7ff7c82805a0h   | 73      | CTC_RET_INTR        | hex://bitcore/gbits?bitcopy#bitcopy_g[64i](64i,8u,8u,64i)                                                     | long bitcopy<long>(long src, byte index, byte count, long dst)                                                | 0f 1f 44 00 00 0f b6 c2 8b d0 45 0f b6 c0 45 8b d0 41 c1 e2 08 41 0b c2 0f b7 c0 c4 e2 f8 f7 c1 41 8d 48 ff 41 b8 01 00 00 00 49 d3 e0 c4 c2 b8 f3 d0 83 e2 3f 8b ca 49 d3 e0 49 f7 d0 4d 23 c1 8b ca 48 d3 e0 49 0b c0 c3
