Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
24        | 7ff7c83fa9f0h   | 18      | CTC_RET_INTR        | hex://gmath/fmath?negate#negate_(64f)                                                                         | double negate(double src)                                                                                     | c5 f8 77 66 90 c5 fb 10 0d 0b 00 00 00 c5 f8 57 c1 c3
25        | 7ff7c83faa20h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?signum#signum_(32f)                                                                         | Sign:int signum(float src)                                                                                    | c5 f8 77 66 90 48 b8 18 20 a0 c7 f7 7f 00 00 48 ff e0
26        | 7ff7c83faa50h   | 18      | CTC_JMP_RAX         | hex://gmath/fmath?signum#signum_(64f)                                                                         | Sign:int signum(double src)                                                                                   | c5 f8 77 66 90 48 b8 f0 1f a0 c7 f7 7f 00 00 48 ff e0
27        | 7ff7c83faa80h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?square#square_(32f)                                                                         | float square(float src)                                                                                       | c5 f8 77 66 90 c5 fa 59 c0 c3
28        | 7ff7c83faaa0h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?square#square_(64f)                                                                         | double square(double src)                                                                                     | c5 f8 77 66 90 c5 fb 59 c0 c3
29        | 7ff7c83faac0h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?sqrt#sqrt_(32f)                                                                             | float sqrt(float src)                                                                                         | c5 f8 77 66 90 c5 fa 51 c0 c3
30        | 7ff7c83faae0h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?sqrt#sqrt_(64f)                                                                             | double sqrt(double src)                                                                                       | c5 f8 77 66 90 c5 fb 51 c0 c3
31        | 7ff7c83fab00h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?sub#sub_(32f,32f)                                                                           | float sub(float a, float b)                                                                                   | c5 f8 77 66 90 c5 fa 5c c1 c3
32        | 7ff7c83fab20h   | 10      | CTC_RET_INTR        | hex://gmath/fmath?sub#sub_(64f,64f)                                                                           | double sub(double a, double b)                                                                                | c5 f8 77 66 90 c5 fb 5c c1 c3
33        | 7ff7c83fab40h   | 29      | CTC_RET_INTR        | hex://gmath/fmath?between#between_(32f,32f,32f)                                                               | bit between(float x, float a, float b)                                                                        | c5 f8 77 66 90 c5 f8 2e c1 72 0c c5 f8 2e d0 0f 93 c0 0f b6 c0 eb 02 33 c0 0f b6 c0 c3
34        | 7ff7c83fab70h   | 29      | CTC_RET_INTR        | hex://gmath/fmath?between#between_(64f,64f,64f)                                                               | bit between(double x, double a, double b)                                                                     | c5 f8 77 66 90 c5 f9 2e c1 72 0c c5 f9 2e d0 0f 93 c0 0f b6 c0 eb 02 33 c0 0f b6 c0 c3
